popular,termo_clinico,observacao
catarro preso,tosse produtiva,Expectoração com dificuldade
dor no peito,dor torácica,Avaliar risco cardiovascular
falta de ar,dispneia,"Pode indicar asma, pneumonia ou ansiedade"
quebradeira,mialgia difusa,"Sintoma inespecífico, avaliar dengue"
moído,astenia,Fadiga generalizada
piripaque,síncope,Pode ser síncope vasovagal
desmaio,síncope,Perda transitória da consciência
batedeira,taquicardia,Batimento acelerado
calafrio,calafrios,Pode indicar febre ou infecção
dor na boca do estômago,epigastralgia,Sugere gastrite ou úlcera
termo_popular_1,termo_clinico_1,observacao_1
termo_popular_2,termo_clinico_2,observacao_2
termo_popular_3,termo_clinico_3,observacao_3
termo_popular_4,termo_clinico_4,observacao_4
termo_popular_5,termo_clinico_5,observacao_5
termo_popular_6,termo_clinico_6,observacao_6
termo_popular_7,termo_clinico_7,observacao_7
termo_popular_8,termo_clinico_8,observacao_8
termo_popular_9,termo_clinico_9,observacao_9
termo_popular_10,termo_clinico_10,observacao_10
termo_popular_11,termo_clinico_11,observacao_11
termo_popular_12,termo_clinico_12,observacao_12
termo_popular_13,termo_clinico_13,observacao_13
termo_popular_14,termo_clinico_14,observacao_14
termo_popular_15,termo_clinico_15,observacao_15
termo_popular_16,termo_clinico_16,observacao_16
termo_popular_17,termo_clinico_17,observacao_17
termo_popular_18,termo_clinico_18,observacao_18
termo_popular_19,termo_clinico_19,observacao_19
termo_popular_20,termo_clinico_20,observacao_20
termo_popular_21,termo_clinico_21,observacao_21
termo_popular_22,termo_clinico_22,observacao_22
termo_popular_23,termo_clinico_23,observacao_23
termo_popular_24,termo_clinico_24,observacao_24
termo_popular_25,termo_clinico_25,observacao_25
termo_popular_26,termo_clinico_26,observacao_26
termo_popular_27,termo_clinico_27,observacao_27
termo_popular_28,termo_clinico_28,observacao_28
termo_popular_29,termo_clinico_29,observacao_29
termo_popular_30,termo_clinico_30,observacao_30
termo_popular_31,termo_clinico_31,observacao_31
termo_popular_32,termo_clinico_32,observacao_32
termo_popular_33,termo_clinico_33,observacao_33
termo_popular_34,termo_clinico_34,observacao_34
termo_popular_35,termo_clinico_35,observacao_35
termo_popular_36,termo_clinico_36,observacao_36
termo_popular_37,termo_clinico_37,observacao_37
termo_popular_38,termo_clinico_38,observacao_38
termo_popular_39,termo_clinico_39,observacao_39
termo_popular_40,termo_clinico_40,observacao_40
termo_popular_41,termo_clinico_41,observacao_41
termo_popular_42,termo_clinico_42,observacao_42
termo_popular_43,termo_clinico_43,observacao_43
termo_popular_44,termo_clinico_44,observacao_44
termo_popular_45,termo_clinico_45,observacao_45
termo_popular_46,termo_clinico_46,observacao_46
termo_popular_47,termo_clinico_47,observacao_47
termo_popular_48,termo_clinico_48,observacao_48
termo_popular_49,termo_clinico_49,observacao_49
termo_popular_50,termo_clinico_50,observacao_50
termo_popular_51,termo_clinico_51,observacao_51
termo_popular_52,termo_clinico_52,observacao_52
termo_popular_53,termo_clinico_53,observacao_53
termo_popular_54,termo_clinico_54,observacao_54
termo_popular_55,termo_clinico_55,observacao_55
termo_popular_56,termo_clinico_56,observacao_56
termo_popular_57,termo_clinico_57,observacao_57
termo_popular_58,termo_clinico_58,observacao_58
termo_popular_59,termo_clinico_59,observacao_59
termo_popular_60,termo_clinico_60,observacao_60
termo_popular_61,termo_clinico_61,observacao_61
termo_popular_62,termo_clinico_62,observacao_62
termo_popular_63,termo_clinico_63,observacao_63
termo_popular_64,termo_clinico_64,observacao_64
termo_popular_65,termo_clinico_65,observacao_65
termo_popular_66,termo_clinico_66,observacao_66
termo_popular_67,termo_clinico_67,observacao_67
termo_popular_68,termo_clinico_68,observacao_68
termo_popular_69,termo_clinico_69,observacao_69
termo_popular_70,termo_clinico_70,observacao_70
termo_popular_71,termo_clinico_71,observacao_71
termo_popular_72,termo_clinico_72,observacao_72
termo_popular_73,termo_clinico_73,observacao_73
termo_popular_74,termo_clinico_74,observacao_74
termo_popular_75,termo_clinico_75,observacao_75
termo_popular_76,termo_clinico_76,observacao_76
termo_popular_77,termo_clinico_77,observacao_77
termo_popular_78,termo_clinico_78,observacao_78
termo_popular_79,termo_clinico_79,observacao_79
termo_popular_80,termo_clinico_80,observacao_80
termo_popular_81,termo_clinico_81,observacao_81
termo_popular_82,termo_clinico_82,observacao_82
termo_popular_83,termo_clinico_83,observacao_83
termo_popular_84,termo_clinico_84,observacao_84
termo_popular_85,termo_clinico_85,observacao_85
termo_popular_86,termo_clinico_86,observacao_86
termo_popular_87,termo_clinico_87,observacao_87
termo_popular_88,termo_clinico_88,observacao_88
termo_popular_89,termo_clinico_89,observacao_89
termo_popular_90,termo_clinico_90,observacao_90
